Question_Number,Domain_Number,Domain_Name,Question_Type,Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation
11,2,Agent and Assistant Integration,MC,How are agents hosted on watsonx.ai Agent Lab typically imported into watsonx Orchestrate?,Via an AI Service or Agent Connect ('/v1/chat') endpoint,By manually retyping the agent's code,They cannot be imported,Only via a paper request form,,A,watsonx.ai Agent Lab agents are imported through an AI Service or Agent Connect endpoint.
12,2,Agent and Assistant Integration,MC,What is the Agent Catalog's core business value in the context of multi-agent orchestration?,It hides agents from all users by default,"Speed to value—teams deploy proven, pre-integrated agents instead of building integrations from scratch, with RBAC and lifecycle governance",It disables governance,It requires no authentication,,B,"The Catalog accelerates delivery with governed, reusable, pre-integrated assets."
13,2,Agent and Assistant Integration,MC,What is Langflow within the watsonx Orchestrate ecosystem?,A proprietary IBM-only scripting language,"An open-source, visual, drag-and-drop builder for LLM applications that can be imported as a tool",A replacement for the ADK,A channel type like Slack,,A,"Langflow lets teams build sophisticated logic visually, then govern the result as a standard Orchestrate tool."
14,2,Agent and Assistant Integration,MR,Which components can be included in an exported Langflow flow? (Select all that apply),Chat Input/Output nodes,LLM nodes,Retrievers,Custom Python components,Native watsonx Assistant conversation flows,"A,B,C,D",Standard and custom Langflow components can be included; native Assistant flows are a separate construct.
15,2,Agent and Assistant Integration,MC,"In the real-world Sales prospecting scenario, which agent handles account/contact data lookups?",A generative outreach-drafting agent,A Salesforce-connected agent,A research agent,"The supervisor agent directly, bypassing all collaborators",,B,The Salesforce-connected collaborator agent is used for account/contact data lookups.
16,2,Agent and Assistant Integration,MR,Which interface types are named as supported for integrating an assistant/agent as a collaborator? (Select all that apply),native,external_chat,A2A,FTP,SMTP relay,"A,B,C","native, external_chat, and A2A are the documented supported interfaces."
17,2,Agent and Assistant Integration,MC,What distinguishes a Langflow-based tool from a native Python tool in terms of capability?,Langflow tools cannot be attached to agents,"They differ mainly in how they were authored (visually vs. in code), not in fundamental capability as a callable tool",Langflow tools require no connections ever,Python tools are always faster,,B,Both are discrete callable capabilities; authoring method is the main practical difference.
18,2,Agent and Assistant Integration,MC,"What does the Agent Catalog allow teams to do regarding connectors to systems like Workday, SAP, or Salesforce?","Deploy proven, pre-integrated agents with connectors already built, instead of building integrations from scratch",Nothing—connectors must always be custom-built,Delete existing connectors permanently,Bypass RBAC entirely,,A,The Catalog's value is speed—pre-built connectors and agents ready to configure.
19,2,Agent and Assistant Integration,MC,Which of these is an example of a poor multi-agent design choice per best practices?,A narrow specialist agent with under 10 tools,One overloaded generalist agent handling every domain and tool,A supervisor with well-organized domain collaborators,A shallow collaborator hierarchy,,B,Multi-agent orchestration exists specifically to avoid one overloaded generalist agent.
20,2,Agent and Assistant Integration,MC,"In the Agent Catalog, what governs who can view or edit a given agent?",Nothing—Catalog access is unrestricted by design,RBAC and lifecycle governance applied to the Catalog,The agent's file size,The number of tools it has,,B,RBAC and lifecycle governance control usage and access within the Catalog.
21,3,Workflow and Orchestration Design,MC,When would you insert a generative prompt step into an otherwise deterministic workflow?,Never—generative steps are not supported in workflows,"To handle a sub-task that benefits from language understanding or generation, such as summarizing a document or classifying free-text input",Only to change the workflow's color scheme,Only in the Dev environment,,B,Generative prompt steps handle language-centric sub-tasks before structured logic resumes.
22,3,Workflow and Orchestration Design,MC,What is the Model Context Protocol (MCP)?,A proprietary IBM billing standard,"An open standard that lets AI agents interact with external tools and data sources through a consistent, structured interface regardless of the calling LLM or framework",A deprecated tool integration method,A UI theme for the chat widget,,B,"MCP provides a framework-agnostic, standardized interface for tool/data discovery and invocation."
23,3,Workflow and Orchestration Design,MC,What is the purpose of MCP Inspector?,A billing dashboard for MCP usage,A standard MCP testing utility used to call each tool directly and confirm its schema and behavior before it is wired into an agent,A code editor for Python tools,A replacement for the ADK CLI,,B,MCP Inspector validates tool schema/behavior prior to import.
24,3,Workflow and Orchestration Design,MC,Which authentication type is explicitly mentioned as supported when registering MCP servers with ContextForge Gateway?,OAuth,Only anonymous access,Only Kerberos,Only hardware tokens,,A,"ContextForge supports different transports, access levels, and authentication types including OAuth."
25,3,Workflow and Orchestration Design,MC,What must be configured before a pre-built agent can securely reach your tenant's instance of a target enterprise system?,Nothing—pre-built agents connect automatically with no setup,"A secure connection (credentials/endpoint) configured for your tenant, following the same connection/authentication model used for custom tools",A new custom LLM must be trained,The Agent Catalog must be disabled,,B,"Each pre-built agent requires its own configured connection, just like custom tools."
26,3,Workflow and Orchestration Design,MC,Which tool-integration approach is described as 'the fastest path for wrapping an existing REST API'?,MCP tool,OpenAPI tool,Langflow tool,Python tool with full custom code,,B,OpenAPI tools are generated automatically from an existing OpenAPI/Swagger spec.
27,3,Workflow and Orchestration Design,MC,What does a 'virtual server' mean in the context of ContextForge MCP Gateway?,"A combination of tools from different MCP servers exposed as a curated, secured subset for consuming agents",A single physical server dedicated to one tool,A deprecated feature,A billing construct with no technical meaning,,A,Virtual servers combine tools from multiple MCP servers under centralized governance.
28,3,Workflow and Orchestration Design,MC,What primarily determines whether a sub-task within a workflow should be a generative prompt step versus a code block?,Whether the task benefits from language understanding/generation (generative) versus needing custom deterministic logic like validation or calculation (code block),The day of the week,The agent's model provider,The number of environments configured,,A,Generative steps suit language tasks; code blocks suit deterministic transformation/validation.
29,4,Agent Development,MC,When should an agent retrieve from a Knowledge Base rather than rely on LLM reasoning?,For live system lookups with side effects,For questions answerable from enterprise documents/policies where grounding in verified content matters more than live computation,Only for creative writing tasks,Never—Knowledge Bases are for Assistants only,,B,KB retrieval grounds answers in verified enterprise content.
30,4,Agent Development,MC,What is the recommended approach for evaluating an agent design's reusability and scalability?,Favor one broad agent that does everything,"Favor narrowly scoped agents (one agent per cognitive task) composed via collaborators, keeping tool counts low (~10 ceiling)",Avoid collaborators entirely,Duplicate the same tools across every agent,,B,Narrow scoping improves tool-selection accuracy and reusability across orchestrations.
31,4,Agent Development,MC,Why is an agent's metadata description field described as critical?,It determines the agent's color scheme,Supervisor agents use it to decide when to route to this agent,It has no functional purpose,It only affects billing,,B,"Metadata such as name, description, owner, and permissions—especially description—drives routing decisions."
32,4,Agent Development,MR,What should be verified as part of readiness activities before an agent moves to testing? (Select all that apply),All assets and connections are defined with no missing credentials or unresolved tool references,Documentation and version details are complete for audit trail purposes,The agent's marketing slogan is finalized,Nothing needs to be verified,,"A,B",Readiness centers on verified assets/connections and complete documentation/versioning.
33,4,Agent Development,MC,How does testing relate to Observability in the agent lifecycle?,They are unrelated and never compared,"Evaluation is a build-time/pre-release check against known scenarios, while observability monitors real production behavior continuously; regressions in evaluation should show as drift in observability",Observability replaces the need for evaluation entirely,Evaluation only runs in production,,B,"Evaluation and observability are complementary, pre-release versus continuous production monitoring."
34,4,Agent Development,MC,What methods are used to evaluate and test prompts for agent performance?,Guessing based on intuition alone,"The ADK Evaluation Framework and the watsonx Orchestrate Copilot, iteratively testing against representative and adversarial scenarios",Only manual code review with no testing framework,Disabling the agent and starting over each time,,B,Iterative testing compares trajectories and outputs across prompt versions.
35,4,Agent Development,MR,Which channel types are named as supported for AI agent interactions? (Select all that apply),Slack and Microsoft Teams,WhatsApp and SMS,"Contact-centre/telephony integrations (e.g., Genesys)",Embedded web chat / custom client apps,Physical fax machines,"A,B,C,D","Slack/Teams, WhatsApp/SMS, contact-centre/telephony, and embedded web chat are named channel types."
36,4,Agent Development,MC,Approximately what percentage of the exam does Section 4 (Agent Development) represent?,10%,18%,25%,33%,,B,"Section 4 accounts for approximately 18% of the exam, the second-heaviest section."
37,4,Agent Development,MC,"What is the purpose of authentication, credentials, and endpoints in agent integration?",To establish who/what is allowed to call an external system and where that system lives,To style the chat window,To reduce the number of agents needed,To disable audit logging,,A,AuthN/credentials/endpoints establish access control and location for external system calls.
38,4,Agent Development,MC,What should an agent's guidelines explicitly state regarding uncertainty?,Nothing—agents should never express uncertainty,"How the agent should behave when uncertain, alongside what it must never disclose or do and what requires human approval",Guidelines should never mention uncertainty handling,Only the marketing team can define this,,B,"Guidelines treat the behavioral profile as a compliance control, including uncertainty handling."
39,4,Agent Development,MC,Which of the following is an example of a task best handled entirely by LLM reasoning rather than a tool or knowledge base?,Submitting an expense report,Brainstorming taglines for a new product,Looking up a customer's live account balance,Updating a CRM record with a side effect,,B,Creative brainstorming with no need for precise data or execution suits LLM reasoning alone.
40,5,Model Management,MC,"When selecting an LLM for an agent's task type, what tradeoff should be considered for reasoning-heavy planning tasks?","Always choose the smallest, cheapest model regardless of accuracy","Larger, more capable models generally benefit reasoning-heavy planning tasks",Model size is irrelevant to reasoning quality,Only vision models can perform reasoning,,B,"Reasoning-heavy tasks benefit from larger, more capable models, while simple tasks can use smaller ones."
41,5,Model Management,MC,What determines availability of specific third-party models for a given watsonx Orchestrate deployment?,"Availability varies by deployment (IBM Cloud, AWS, AWS GovCloud, on-premises) and region",All models are available identically everywhere with no variation,Only the customer's preferred programming language,Availability is determined solely by the agent's name,,A,Model availability differs by deployment type and region.
42,5,Model Management,MC,How does the AI Gateway enable multi-model and multi-provider orchestration?,"Agents reference a model logically (e.g., by virtual model name); the Gateway resolves that reference to the actual provider/endpoint at runtime",Agents must hardcode a specific provider endpoint with no abstraction,Only one provider can ever be configured at a time,Multi-provider support is not possible,,A,"Logical/virtual model references let providers be swapped, load-balanced, or failed over without changing agent definitions."
43,5,Model Management,MC,What types of model policies are commonly configured?,Only pricing tiers,"Default/primary model assignment, failover ordering, and load-balancing/routing rules across equivalent models",Only UI color themes,Only which employees can log in,,B,Model policies govern how a registered pool of models is used.
44,5,Model Management,MC,How can model policies enforce guardrails?,"By restricting which models are permitted for which use cases, e.g., limiting a sensitive workflow to an approved, audited model",Model policies cannot enforce any guardrails,Only Knowledge Bases can enforce guardrails,Guardrails are configured exclusively in Langflow,,A,"Policies can restrict model use to approved, audited models for sensitive workflows."
45,5,Model Management,MC,A workflow requires embedding models for knowledge-base semantic search. Where are these registered?,"Via the AI Gateway, which supports registering embedding models",Only within the Langflow visual editor,Only via a Slack integration,Embedding models cannot be registered in watsonx Orchestrate,,A,The AI Gateway supports registering embedding models for KB semantic search.
46,5,Model Management,MC,Which of the following best distinguishes 'failover' from 'load balancing' within a model policy?,Failover routes to a backup model when the primary is unavailable/rate-limited; load balancing distributes requests across multiple equivalent models,They are identical concepts with different names,Failover only applies to Knowledge Bases,Load balancing only applies to channels,,A,Failover handles primary-model unavailability; load balancing distributes ongoing traffic.
47,5,Model Management,MC,Which statement about registering models per AI Gateway instance is accurate?,Only one model may ever be registered in total,"Multiple models from different providers can be registered, with at least one default LLM and one default embedding model required per instance",Models cannot be registered for on-premises deployments,Registration requires disabling RBAC,,B,"AI Gateway supports multi-model, multi-provider registration with defaults required per instance."
48,6,"Security, Compliance, and Observability",MC,Across which layers do authentication and authorization apply consistently?,Only the main chat UI,"The agent runtime, the Catalog, connections/credentials, and the ADK/API surface",Only billing systems,Only the marketing website,,B,"AuthN/authZ apply across the runtime, Catalog, connections, and ADK/API—not just the main UI."
49,6,"Security, Compliance, and Observability",MC,What does 'managing secure connections and integration' include?,"Credential rotation, least-privilege scoping of connections, and using a secrets manager rather than embedding credentials in code/flows",Publishing credentials in plaintext for convenience,Disabling all connections permanently,Sharing one universal credential across every tool,,A,Least-privilege scoping and secrets management are core to secure connection handling.
50,6,"Security, Compliance, and Observability",MC,How is observability extended beyond the native UI?,It cannot be extended,"Through OpenTelemetry-compatible traces and integration with external tools, most notably Langfuse",Only via manual log file review with no tooling,Observability does not exist in watsonx Orchestrate,,B,OpenTelemetry-compatible traces and Langfuse integration extend observability beyond the native UI.
51,6,"Security, Compliance, and Observability",MC,How are compliance controls embedded in watsonx Orchestrate?,"Through guideline/guardrail instructions, input/output plug-ins enforcing data-handling rules, model policies restricting approved models, and RBAC",Compliance controls cannot be embedded; they are entirely manual,Only through a single global on/off switch,Only via external consultants with no platform features,,A,Multiple layered controls together embed compliance into the platform.
52,6,"Security, Compliance, and Observability",MC,What does Security and Privacy by Design (SPbD) mean in this context?,Adding security controls only after a breach occurs,"Building privacy and security controls into an agent from the outset—e.g., input/output plug-ins to redact sensitive data, least-privilege connections, and access-controlled knowledge bases",Ignoring privacy until an audit is scheduled,A marketing term with no technical implementation,,B,SPbD embeds controls proactively rather than retrofitting them.
53,6,"Security, Compliance, and Observability",MR,Which of the following are part of the security checklist administrators use for authN/authZ/audit compliance? (Select all that apply),Verifying identity mechanisms are configured correctly,Verifying RBAC roles are assigned appropriately,Verifying audit logging is enabled and retained per policy,Verifying the chatbot uses a specific font,,"A,B,C","The checklist covers identity, RBAC, and audit logging—not cosmetic UI details."
54,6,"Security, Compliance, and Observability",MC,Which enterprise identity approach is used for programmatic ADK/API access to watsonx Orchestrate?,API keys/tokens,Only handwritten passwords shared via email,No authentication is required,Only biometric fingerprint scanners,,A,"API keys/tokens support programmatic access, while federated identity/IAM integration supports user sign-in."
55,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"Why is environment isolation implemented between Dev, Test, and Prod?","So experimentation and testing cannot accidentally affect production data or users, via distinct credentials and data",To make all environments share the same database for convenience,Isolation is not implemented in watsonx Orchestrate,To reduce the number of available environments to one,,A,Strict separation with distinct credentials/data protects production from experimentation.
56,7,"Deployment, Scaling, Optimization, and Resiliency",MR,Which document formats are named as supported for ingestion into a knowledge base? (Select all that apply),PDF,HTML,JSON,Only proprietary binary formats with no other support,,"A,B,C","PDF, HTML, and JSON are the named supported formats for document ingestion."
57,7,"Deployment, Scaling, Optimization, and Resiliency",MC,How is knowledge base security and access control implemented?,Configuring document-level permissions and data isolation so users only retrieve content they are authorized to see,Making every document publicly accessible by default,Disabling authentication for faster access,There is no access control for knowledge bases,,A,This is consistent with the SPbD principles of least-privilege access.
58,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What does implementing versioning and A/B testing for assistants/agents involve?,"Deploying multiple versions in parallel, routing a portion of traffic to each for comparison, and maintaining rollback procedures",Deploying only one version forever with no comparison,Deleting the previous version immediately upon any update,Ignoring rollback needs entirely,,A,This lets teams compare versions and roll back if a new version underperforms.
59,7,"Deployment, Scaling, Optimization, and Resiliency",MC,Why do ADK-managed artefacts fit naturally into standard Git workflows?,"Because ADK artefacts are plain YAML/Python, so they can be tracked via version control with standard branching strategies",Because ADK artefacts are stored only as images,Because Git integration is not supported by the ADK,Because artefacts cannot be tracked at all,,A,Plain YAML/Python artefacts support Git-based version control integration.
60,7,"Deployment, Scaling, Optimization, and Resiliency",MC,How should secrets and credentials be managed within CI/CD pipelines?,"Securely, using secrets managers or CI/CD-native secret stores rather than plaintext files, consistent with Section 6 security principles",Stored in plaintext configuration files for simplicity,Emailed to team members before each deployment,Hardcoded directly into tool source code,,A,Secrets managers or native secret stores keep sensitive configuration data secure.
