Question_Number,Domain_Number,Domain_Name,Question_Type,Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation
11,2,Agent and Assistant Integration,MC,"A company already has a specialized fraud-detection agent running on a separate vendor's platform. To use it inside watsonx Orchestrate without rebuilding it, you would:",Manually re-code the entire fraud model inside WXO,Configure it as an external A2A agent using the ADK,Ignore it since external agents aren't supported,Store its logic in a knowledge base document,,B,Use external A2A agent configuration via ADK to integrate an existing third-party agent.
12,2,Agent and Assistant Integration,MC,Which watsonx Orchestrate construct is specifically designed to support agents originating from watsonx.ai?,"Multi-Agent Orchestration, which can incorporate watsonx.ai agents as one of its supported agent sources",Only the AI Gateway,Only Langflow,None \-\-- watsonx.ai agents cannot be used in Orchestrate,,A,Multi-Agent Orchestration explicitly supports incorporating agents from watsonx.ai.
13,2,Agent and Assistant Integration,MC,What distinguishes Langflow tools from a standard Agentic Workflow in watsonx Orchestrate?,Nothing \-\-- they are identical,"Langflow provides a visual, node-based orchestration approach, while Agentic Workflows are typically defined through WXO's native workflow/flow-building constructs",Langflow cannot be integrated with WXO,Agentic Workflows cannot include any logic branching,,B,Langflow = visual/node-based; Agentic Workflows = WXO-native flow-building constructs.
14,2,Agent and Assistant Integration,MC,Which of the following correctly lists a valid step when integrating Langflow tools into watsonx Orchestrate?,Disable ADK before starting,"Configure the Langflow tool using ADK (Start ADK), then integrate it into a WXO agent",Delete existing agents first,"Only use Langflow in Test, never in Dev",,B,"Configure via ADK (Start ADK), then integrate into a WXO agent."
15,2,Agent and Assistant Integration,MC,Which of the following is a real-world example of Multi-Agent Orchestration described in the exam objectives?,A single static FAQ chatbot,Multi-agent orchestration for HR workflows and Sales prospecting workflows,A stand-alone spreadsheet macro,A manually operated ticketing system with no agents,,B,HR workflows and Sales prospecting are the named real-world multi-agent orchestration examples.
16,2,Agent and Assistant Integration,MC,What should you check FIRST when deciding whether to implement an Assistant-Agent integration?,The exact pixel dimensions of the UI,The specific use cases and tasks that the integration needs to support,The billing tier only,Whether external agents are disabled,,B,Identify the specific use cases/tasks the integration needs to support before implementation.
17,2,Agent and Assistant Integration,MC,"An ""external agent"" differs from a ""collaborator agent"" primarily because:",There is no difference,"An external agent resides outside the WXO platform on another system, while a collaborator agent is a WXO-native asset invoked internally",Collaborator agents always cost more,External agents cannot be orchestrated at all,,B,"External agent = outside WXO on another system; Collaborator agent = WXO-native, internally invoked."
18,2,Agent and Assistant Integration,MC,Which capability would you use to explore what agents and reusable assets already exist before building something new?,AI Gateway,Agent Catalog,Knowledge Base ingestion pipeline,RBAC configuration screen,,B,The Agent Catalog is where you discover existing reusable agents/assets.
19,2,Agent and Assistant Integration,MC,Why might an organization choose to integrate Langflow rather than build a workflow natively in WXO?,Langflow removes the need for any governance,Langflow's visual orchestration approach can accelerate prototyping and integration of complex flows/tools for teams preferring a low-code visual builder,Langflow is required for all agent development,Langflow eliminates the need for connections,,B,Langflow's visual builder can accelerate prototyping/integration for low-code-preferring teams.
20,2,Agent and Assistant Integration,MC,Which of the following agent types can be listed/identified as officially supported for integration by watsonx Orchestrate?,Only agents built entirely from scratch with no external support,"Agents supported per the WXO documentation, including third-party, watsonx.ai, and external A2A agents",Only spreadsheet-based automations,None \-\-- WXO only supports built-in assistants **Domain 3: Workflow and Orchestration Design (14%)**,,B,"WXO documentation lists supported agent types including third-party, watsonx.ai, and external A2A."
21,3,Workflow and Orchestration Design,MC,"In building an agentic workflow, ""decision points"" refer to:","Fixed, unchangeable outcomes","Points in the flow where the outcome branches based on conditions, data, or approvals",The name of the workflow file only,The billing tier selected,,B,Decision points are branch points based on conditions/data/approvals.
22,3,Workflow and Orchestration Design,MC,Which workflow element would you use to require a manager's sign-off before proceeding to the next step?,A code block,A user activity requiring human approval,A generative prompt,An MCP tool registration,,B,A user activity requiring approval implements a human-in-the-loop sign-off step.
23,3,Workflow and Orchestration Design,MC,What is the primary benefit of using MCP for tool integration compared to point-to-point custom integrations?,MCP requires more custom code per tool than traditional integration,"MCP provides a standardized, reusable interface so agents can discover and use tools/data sources consistently",MCP eliminates the need for any tool at all,MCP only works with a single vendor's tools,,B,"MCP's value is a standardized, reusable tool/data-source interface vs. one-off custom integrations."
24,3,Workflow and Orchestration Design,MC,"Before an MCP tool can be used by an agent in watsonx Orchestrate, which sequence is correct?",Import to ADK → register with MCP server → skip validation,Register the tool with the MCP server → validate with MCP Inspector → import into WXO via ADK → configure the consuming agent,"Configure the agent first, then never validate the tool","Delete the tool, then register it",,B,Correct order: register with MCP server → validate with MCP Inspector → import via ADK → configure consuming agent.
25,3,Workflow and Orchestration Design,MC,The ContextForge MCP Gateway's role in exposing tools is most similar to:,A user interface theme manager,A managed gateway that centralizes how MCP tools are exposed to and consumed by agents,A billing invoice generator,A static documentation page with no functional role,,B,ContextForge MCP Gateway centralizes exposure/consumption of MCP tools.
26,3,Workflow and Orchestration Design,MC,Which is an example of a pre-built domain agent category likely found in the WXO Agent Catalog?,HR workflow agents and Sales prospecting agents,Only generic weather agents,Only agents with no enterprise application connections,Agents that cannot be customized in any way,,A,HR and Sales prospecting are the named pre-built domain agent example categories.
27,3,Workflow and Orchestration Design,MC,"When customizing a pre-built domain agent for your enterprise, a required step is typically:",Skipping any connection configuration,Configuring secure connections between the pre-built agent and your enterprise applications,Disabling the AI Gateway,Removing all metadata,,B,Customizing a pre-built agent requires configuring secure connections to enterprise apps.
28,3,Workflow and Orchestration Design,MC,"Which best completes the flow outline used in Orchestrate workflows: ""Trigger → sequence of actions → \_\_\_ → outcomes""?",Billing calculation,Decision points,UI theme selection,RBAC audit **Domain 4: Agent Development (18%)**,,B,Correct flow: Trigger → sequence of actions → decision points → outcomes.
29,4,Agent Development,MC,"An agent needs to answer ""What is our current return policy?"" using a static, unchanging internal policy document. The best design choice is:",Have the agent rely purely on LLM reasoning without grounding,Retrieve the answer from a connected knowledge base containing the policy document,Call an external payment API,Use a code block to hardcode the answer permanently in the agent's prompt only,,B,"Static, unchanging reference content is best served by knowledge base retrieval, not raw LLM guessing."
30,4,Agent Development,MC,"Which combination correctly represents required inputs when designing an agent, per the exam objectives?",Only the agent's name,"Purpose, scope, expected output, required tools, knowledge bases, connections, and data dependencies",Only the billing tier,Only the UI theme,,B,"Agent design inputs: purpose, scope, expected output, tools, knowledge bases, connections, data dependencies."
31,4,Agent Development,MC,Applying UX and conversational design principles to agent design primarily addresses:,Server infrastructure sizing,"Tone, clarity, and accessibility of the agent's interactions with users",Database indexing strategy,Network firewall rules,,B,"UX/conversational design principles address tone, clarity, and accessibility."
32,4,Agent Development,MC,"When breaking down a business workflow into automation steps, determining whether a step belongs to ""an agent, a tool, a connection, or a flow branch"" helps you:",Choose a UI color scheme,Correctly architect which platform construct should implement each part of the process,Set the billing tier,Disable governance for that step,,B,This mapping ensures the right platform construct implements each part of the process.
33,4,Agent Development,MC,"Which activity is part of the agent ""build"" process's structural elements?","Defining tools, connections, metadata, and knowledge bases that make up the agent",Only choosing a marketing slogan,Deleting the Dev environment,Skipping documentation entirely,,A,"Build process structural elements = tools, connections, metadata, knowledge bases."
34,4,Agent Development,MC,"In agent evaluation, ""agent evaluation metrics"" are used to:",Determine the marketing budget,"Quantify agent performance (e.g., accuracy, task completion, relevance) against test datasets",Replace the need for any testing,Set the agent's display name,,B,"Evaluation metrics quantify performance (accuracy, completion, relevance) against test data."
35,4,Agent Development,MC,How does agent testing tie into Observability?,They are unrelated,Testing results and production monitoring both feed into understanding real-world agent performance and identifying issues over time,Observability replaces testing entirely,Observability is only used for billing,,B,Testing and production observability both inform ongoing understanding of real-world performance.
36,4,Agent Development,MC,Which technique is a recognized prompting approach used when designing AI agents (per agentic prompting objectives)?,Random unstructured text with no instructions,"Structured techniques such as chain-of-thought, few-shot examples, or role/task framing to guide agent reasoning",Disabling all context from the conversation,Removing all tool descriptions from the prompt,,B,"Chain-of-thought, few-shot, and role/task framing are recognized agentic prompting techniques."
37,4,Agent Development,MC,Which is a valid method to evaluate and test prompts for agent performance?,Guessing without any structured test cases,Running prompts against defined evaluation datasets/user stories and measuring outcomes against metrics,Only checking the character count of the prompt,Skipping evaluation once the agent is deployed,,B,Prompt evaluation should use structured datasets/user stories against defined metrics.
38,4,Agent Development,MC,A key security risk when an agent has broad tool access and processes untrusted user input is:,Reduced billing costs,Prompt injection leading the agent to misuse tools or leak sensitive data,Improved UX automatically,Faster response times with no tradeoffs,,B,Broad tool access + untrusted input is a classic prompt-injection/tool-misuse risk vector.
39,4,Agent Development,MC,"When connecting an agent to multiple channels (e.g., web chat, messaging platform), testing and validation should confirm:",Only that the UI colors match across channels,"That the agent behaves correctly, securely, and consistently across each channel's specific constraints",That billing is disabled,That knowledge bases are removed for non-web channels **Domain 5: Model Management (14%)**,,B,"Channel testing should confirm correct, secure, consistent behavior per channel's constraints."
40,5,Model Management,MC,What is a key benefit of using the Orchestrate Copilot in VS Code during agent development?,It eliminates the need for any testing,It streamlines workspace initialization and common development tasks through copilot commands,It replaces the AI Gateway,It manages RBAC permissions exclusively,,B,Orchestrate Copilot streamlines workspace setup/dev tasks via copilot commands.
41,5,Model Management,MC,"When selecting an LLM, ""input modality"" considerations refer to:",The billing plan tier,"Whether the model needs to support text, image, audio, or other input types for the given task",The number of environments configured,The RBAC role assigned to the agent,,B,Input modality = whether the model must support text/image/audio/etc. for the task.
42,5,Model Management,MC,Which scenario best illustrates the AI Gateway's multi-provider orchestration capability?,An agent that only ever uses one fixed model with no fallback,"A workflow that dynamically routes requests across different LLM providers based on cost, latency, or availability",A workflow with no models involved at all,A static HTML page with no AI Gateway usage,,B,Dynamic routing across providers based on cost/latency/availability is the AI Gateway's multi-provider value.
43,5,Model Management,MC,Which of the following is an example use case the AI Gateway is designed to support?,Centralized governance and routing across multiple models/providers for consistency and control,Manually copying API keys into every individual agent with no central management,Preventing any model from being used at all,Replacing the need for knowledge bases,,A,Centralized governance/routing across models/providers is a core AI Gateway use case.
44,5,Model Management,MC,"Applying ""guardrails through model policies"" means:",Removing all restrictions on model output,"Using model policy configuration to enforce content, safety, or behavioral constraints on model responses",Guardrails cannot be configured via policies,Guardrails only apply to external agents,,B,Guardrails are applied via model policy configuration to constrain content/behavior.
45,5,Model Management,MC,When would you update or remove an existing model policy?,Never \-\-- policies are immutable once created,"When business requirements, cost considerations, or governance needs change and the policy must reflect new selection/failover/guardrail rules",Only when deleting the entire environment,Only if the AI Gateway is disabled,,B,"Policies should be updated/removed as business, cost, or governance needs evolve."
46,5,Model Management,MC,How do agent ops and governance dashboards typically relate to model policies?,They have no relationship,"Insights from ops/governance dashboards (e.g., cost, performance, compliance issues) can inform when and how model policies should be created or adjusted",Dashboards replace the need for any policy,Dashboards only track UI themes,,B,Ops/governance dashboard insights inform when/how model policies should change.
47,5,Model Management,MC,"Understanding cost, accuracy, and latency tradeoffs is important when choosing an LLM because:",These factors are irrelevant to model selection,The optimal model for a given agent task balances these competing factors against business requirements,Cost is the only factor that ever matters,"Latency has no effect on user experience **Domain 6: Security, Compliance, and Observability (11%)**",,B,"Model selection is a balance of cost, accuracy, and latency against business needs — not one factor alone."
48,6,"Security, Compliance, and Observability",MC,Which statement about RBAC and task execution in watsonx Orchestrate is accurate?,"RBAC only affects login screens, not task execution",RBAC governs both user permissions and which tasks/actions a user or role can execute within Orchestrate,RBAC is optional and rarely configured,RBAC applies only to external agents,,B,RBAC governs both permissions and task execution rights by role.
49,6,"Security, Compliance, and Observability",MC,"What should you review to understand authentication, authorization, and audit compliance readiness?",The marketing plan,"The security checklist provided for authentication, authorization, and audit compliance",The UI color palette,The billing invoice history,,B,The provided security checklist is the reference for authentication/authorization/audit readiness.
50,6,"Security, Compliance, and Observability",MC,Enabling external logging in watsonx Orchestrate is most useful for organizations that:,Want to disable all internal audit trails,Need centralized visibility by feeding activity/audit data into existing enterprise monitoring or SIEM tools,Have no compliance requirements,Want to eliminate the Agent Catalog,,B,External logging feeds centralized enterprise monitoring/SIEM tools.
51,6,"Security, Compliance, and Observability",MC,Built-in dashboards for agent analytics would most likely help you monitor:,Employee vacation schedules,"Conversation metrics, error rates, and performance trends for deployed agents",Marketing campaign click-through rates,Office building temperature,,B,"Built-in dashboards track conversation metrics, error rates, and performance trends."
52,6,"Security, Compliance, and Observability",MC,"Which of the following is a governance activity that should be applied across the full lifecycle of AI agents, assistants, and workflows?","Governance reviews only at initial design, never again","Continuous policy enforcement, monitoring, and compliance checks from design through retirement",No governance needed once an agent passes initial testing,"Governance only applies to knowledge bases, not agents",,B,Governance must be continuous across the full agent/assistant/workflow lifecycle.
53,6,"Security, Compliance, and Observability",MC,Security and Privacy by Design (SPbD) configuration would most likely include:,Adding encryption and access controls only after a security incident occurs,"Proactively configuring data protection, access controls, and privacy safeguards as part of the initial agent/workflow design",Removing all authentication to simplify development,Ignoring regulatory frameworks during design,,B,SPbD means proactively building in data protection/access/privacy controls from the start.
54,6,"Security, Compliance, and Observability",MC,"Why is it important to understand ""when to place authentication, authorization, and audit concerns in context"" (per Task 6.1)?",Because these concerns are irrelevant to most Orchestrate use cases,"Because different scenarios (e.g., internal vs. external channels, sensitive vs. non-sensitive data) require applying these controls appropriately rather than uniformly or not at all",Because audit logs should never be reviewed,"Because authorization only matters in the Dev environment **Domain 7: Deployment, Scaling, Optimization, and Resiliency (10%)**",,B,"Controls should be applied contextually based on scenario sensitivity/channel, not uniformly."
55,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"Which activity falls under ""Build and Manage Environments"" (Task 7.1)?",Writing marketing copy,"Setting up environment instances with appropriate naming conventions, regions, and resource tiers",Deleting all knowledge bases permanently,Disabling RBAC across all environments,,B,"Environment setup includes naming conventions, regions, and resource tiers."
56,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"Environment backup, restore, and migration capabilities are important because they:",Are irrelevant to production resiliency,"Allow configurations to be exported/imported and environment versions to be managed, supporting recovery and consistency",Only apply to the Dev environment,Eliminate the need for CI/CD pipelines,,B,Backup/restore/migration support recovery and configuration consistency across environments.
57,7,"Deployment, Scaling, Optimization, and Resiliency",MC,Which factor most directly impacts a knowledge base's semantic search relevance?,The number of environments configured,"The choice of embedding model, vector database, and indexing/retrieval parameters",The billing tier,The RBAC role of the requester only,,B,"Embedding model, vector DB, and indexing/retrieval parameters drive semantic search relevance."
58,7,"Deployment, Scaling, Optimization, and Resiliency",MC,Implementing knowledge base security and access control primarily involves:,Making all documents public by default with no restrictions,Configuring document-level permissions and data isolation so users only access authorized content,Disabling the AI Gateway,Removing all metadata from documents,,B,KB security = document-level permissions and data isolation.
59,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"In a CI/CD pipeline for Orchestrate assets, ""deployment automation"" with approval gates is used to:",Automatically deploy every change to Prod with no checks,"Ensure controlled promotion of changes, requiring approval before reaching sensitive environments, with rollback mechanisms available",Remove the need for version control,Disable monitoring after deployment,,B,"Approval gates ensure controlled promotion with rollback options, not unchecked auto-deploy."
60,7,"Deployment, Scaling, Optimization, and Resiliency",MC,Why is skill/tool chaining relevant when orchestrating agents at scale (Task 7.3)?,It has no practical use,It allows pre-built and custom skills/tools to be connected and sequenced to accomplish more complex multi-step tasks,It only applies to billing configuration,It disables the Agent Catalog,,B,Skill/tool chaining connects and sequences capabilities for complex multi-step tasks.
