Question_Number,Domain_Number,Domain_Name,Question_Type,Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation
12,2,Agent and Assistant Integration,MR,Which agent types/frameworks are named as natively supported for external agent integration? (Select all that apply),IBM native agents,Langflow agents,LangGraph agents,Agents built on the open A2A protocol,Proprietary agents with no documented interface,"A,B,C,D","Natively supported external agent types include IBM native, Langflow, LangGraph, and open A2A-protocol agents."
13,2,Agent and Assistant Integration,MR,Which are named ways to demonstrate Multi-Agent Orchestration in WXO? (Select all that apply),Agents from third-party platforms as external collaborators,Agents from watsonx.ai imported via AI Service/Agent Connect,WXO assistants exposed as Collaborator Agents,External A2A agents configured exclusively via ADK,Manually copy-pasting chat transcripts between agents,"A,B,C,D",All four are documented methods; manual transcript copying is not a supported integration mechanism.
14,2,Agent and Assistant Integration,MC,What flag is used to start the watsonx Orchestrate Developer Edition with the embedded Langflow visual editor?,--with-langflow,--enable-flow,--langflow-mode,--visual-editor,,A,"The Developer Edition starts with --with-langflow to enable the embedded editor, typically on port 7861."
15,2,Agent and Assistant Integration,MC,"Which of the following correctly lists the four agent-related constructs in ascending order of 'how deterministic' they are, from least to most deterministic?","Agent (native, reasoning) → External agent → Collaborator agent → Assistant (deterministic flow)",Assistant → Collaborator agent → External agent → Agent,Knowledge Base → Tool → Connection → Environment,There is no such ordering in the documentation,,A,"Agents reason dynamically; Assistants follow the most deterministic, designer-authored flow, with collaborator/external describing delegation and hosting, not determinism per se, but Assistants remain the most rule-bound construct."
16,2,Agent and Assistant Integration,MC,Which statement about AI assistants used as agents/collaborators is accurate?,Assistants can never participate in multi-agent orchestration,An assistant's capability can be wrapped and presented to the orchestration layer in agent form so it participates in multi-agent routing,Assistants must be rebuilt as agents from scratch before any reuse,Only external agents can be collaborators,,B,AI assistants can be used as agents/collaborators inside multi-agent orchestration.
17,2,Agent and Assistant Integration,MC,Why must External A2A agents be configured exclusively through the ADK rather than the no-code Agent Builder?,Because the no-code builder does not exist,"This reflects their more technical, cross-framework nature",Because A2A agents are always free of cost,Because IBM requires a signed paper form,,B,"A2A's technical, cross-framework nature makes ADK-only configuration appropriate."
18,2,Agent and Assistant Integration,MC,Why is avoiding deep nesting of collaborator agents recommended?,Because deep nesting is not technically possible,Each additional layer adds latency and reasoning complexity,Nesting is a security violation by definition,Nesting eliminates the need for connections,,B,Deep collaborator nesting compounds latency and reasoning overhead.
19,2,Agent and Assistant Integration,MC,Which statement about Collaborator Agents is most accurate?,They must always be hosted outside Orchestrate,"Any agent, native or external, that a parent/orchestrator agent is permitted to delegate sub-tasks to",They cannot be tested independently,They replace the need for an orchestrator entirely,,B,"Collaborator agent describes a delegation relationship, not a hosting location."
20,2,Agent and Assistant Integration,MC,A supervisor agent needs to call a specialized reasoning agent hosted on Amazon Bedrock AgentCore. Which protocol is most likely used?,FTP,A2A,SMTP,POP3,,B,Third-party platform agents like Bedrock AgentCore are commonly integrated via A2A.
21,3,Workflow and Orchestration Design,MC,How is an agentic workflow typically created in watsonx Orchestrate?,"Visually (or via YAML/ADK) in the Flow Builder by chaining nodes—tools, agents, code blocks, and control structures—into a defined sequence",Only by editing raw database tables,By writing a single unstructured prompt,It cannot be created; only agents can be built,,A,Flow Builder captures deterministic multi-step logic explicitly rather than leaving it entirely to LLM reasoning.
22,3,Workflow and Orchestration Design,MC,What is the standard flow outline pattern used in watsonx Orchestrate workflows?,Outcome → decision → action → trigger,Trigger → sequence of actions → decision points → outcomes,Decision → trigger → outcome → action,Action → outcome → trigger → decision,,B,"A flow starts from a trigger, executes actions, evaluates decision points, and produces outcomes."
23,3,Workflow and Orchestration Design,MC,How does an MCP tool differ from a Python tool authored in the ADK?,"An MCP tool connects to an external MCP server and is reusable across any MCP-compatible framework, not just Orchestrate, whereas a Python tool is authored and maintained inside the ADK project",They are functionally identical in every respect,MCP tools cannot be tested,Python tools cannot call external systems,,A,MCP tools are external and framework-agnostic; Python tools are custom code owned inside the ADK project.
24,3,Workflow and Orchestration Design,MC,"During ADK import of an MCP tool, what exactly does the ADK validate?",Full execution of every possible tool call,"Only the tool schema, not full execution",The tool's marketing description,Nothing; import is unvalidated,,B,"Import validates schema only, not full runtime execution."
25,3,Workflow and Orchestration Design,MR,Which categories of pre-built domain agents are named in the study guide? (Select all that apply),HR agents,Sales agents,Finance/procurement agents,IT/security agents,Weather forecasting agents,"A,B,C,D","HR, Sales, Finance/procurement, and IT/security are named categories; weather forecasting is not mentioned."
26,3,Workflow and Orchestration Design,MC,"In the HR onboarding real-world scenario, why is a multi-agent design preferred over one large agent?","Because a supervisor can delegate document collection, benefits enrollment, and IT-equipment provisioning to specialized, auditable collaborators",Because it reduces the number of connections required to zero,Because Orchestrate forbids single agents,Because HR agents cannot use tools,,A,Decomposition into specialists is auditable and each keeps a manageable tool set.
27,3,Workflow and Orchestration Design,MC,"When registering a local MCP server via the ADK CLI, which command pattern is used?","orchestrate toolkits add --kind mcp --command ""npx -y <package>"" --tools ""*"" --app-id <connection>",orchestrate agents deploy --mcp,orchestrate connections delete --mcp,orchestrate env activate --mcp,,A,Local MCP servers are registered with orchestrate toolkits add --kind mcp using a local command.
28,3,Workflow and Orchestration Design,MC,A team wants deterministic 'always validate before submitting' logic captured explicitly rather than left to LLM reasoning. What should they use?,A single free-form generative prompt,"An agentic workflow with explicit control structures (conditions, loops)",No structure at all,A collaborator agent with no instructions,,B,Agentic workflows capture deterministic multi-step business logic explicitly.
29,4,Agent Development,MC,What should the first step in designing an agent's purpose statement include?,"What the agent does, and just as importantly, what it does not do",Only the agent's marketing name,The agent's billing tier,The number of tools competitors use,,A,A precise purpose statement scopes both intended behavior and explicit non-goals.
30,4,Agent Development,MC,What should be embedded directly in an agent's behavior instructions according to UX/conversational design principles?,"Clear tone, accessible language, and predictable formatting",The agent's internal source code,A list of competitor products,Random emoji usage,,A,"Since the agent's 'interface' is conversation itself, UX principles belong in its behavior instructions."
31,4,Agent Development,MC,What are the main stages of the overall process of building an agent?,Define purpose/profile → select model → attach tools/connections/knowledge → configure collaborators and guidelines → test → prepare for promotion,"Deploy first, design later",Skip design and go straight to Prod,Only select a model; nothing else is required,,A,Building an agent follows a structured sequence from design through promotion readiness.
32,4,Agent Development,MC,What are the two roles Tools can play as structural elements of an agent?,"Discrete actions/composite capabilities, or containers for grouped functionality (e.g., a toolkit from an OpenAPI spec or MCP server)",Only billing categories,Only security policies,Only UI themes,,A,Tools can be single callable actions or containers grouping several related operations.
33,4,Agent Development,MC,What is the difference between 'recording' and 'generating' user stories for evaluation datasets?,Recording captures real or representative user interactions; generating synthetically creates additional stories/test cases via the ADK for broader coverage,They are identical processes,Recording is done only in Prod; generating is done only in Dev,Generating replaces the need for any real user data,,A,Recording uses real transcripts; generating creates synthetic scenarios for broader coverage.
34,4,Agent Development,MC,What is the concept and purpose of agentic prompting?,"Writing single, one-off replies with no system instructions","Writing system-level instructions, guidelines, and tool descriptions to steer an agent's autonomous reasoning loop—how it plans, calls tools, handles failures, and escalates",Formatting output as HTML only,Disabling all reasoning capability,,B,"Agentic prompting shapes the full reasoning loop, not just a single reply."
35,4,Agent Development,MC,What security controls are used to mitigate prompt-based attacks?,Input and output plug-ins that inspect and can modify or block messages before/after the agent processes them,Relying solely on careful prompt wording,Disabling all tools permanently,Removing all guidelines from the agent,,A,"Plug-ins enforce guardrails consistently every time the agent is invoked, not just via prompt wording."
36,4,Agent Development,MC,What security consideration applies specifically to channel integrations?,"Each channel introduces its own authentication surface (API tokens, OAuth, webhook secrets) that must be scoped no more broadly than necessary",Channels share a single universal credential with no scoping needed,Channels never require authentication,Security is irrelevant once an agent is deployed,,A,Channel-specific auth surfaces and data-handling/compliance requirements must be accounted for.
37,4,Agent Development,MC,"When breaking down a workflow, what should be identified regarding entry and exit points?",They are irrelevant to automation design,Understanding entry points and exit points for automation so the flow's scope is clearly bounded,"Only the exit point matters, never the entry point",Entry and exit points apply only to Knowledge Bases,,B,Understanding entry/exit points is part of breaking a workflow into automation steps.
38,4,Agent Development,MC,A design calls for an agent to submit a purchase order into an ERP system. What should it use?,LLM reasoning alone,A tool call (incl. MCP) since this is an action with side effects requiring accuracy and auditability,A generative prompt with no execution,A knowledge base lookup only,,B,"Actions with side effects like submitting orders require tool calls, not reasoning alone."
39,4,Agent Development,MC,"What is the purpose of channel-specific data-handling/compliance requirements, such as message retention on a given platform?",They can be ignored since Orchestrate handles all compliance automatically,They must be accounted for as part of the security considerations when connecting to that channel,They only apply to Knowledge Bases,They are identical across every channel with no platform-specific variation,,B,Each channel's retention and compliance rules must be factored into the integration's security posture.
40,5,Model Management,MC,What does the Orchestrate Copilot for Visual Studio Code primarily help with?,"Initializing an agent development workspace connected to your ADK project, with IDE-integrated assistance for authoring agents, tools, and connections",Replacing the ADK CLI entirely,Managing payroll systems,Editing PowerPoint presentations,,A,Copilot scaffolds a workspace and gives IDE-integrated development assistance.
41,5,Model Management,MC,Why do 'input modalities' matter when choosing an LLM for an agent?,They never matter for agent design,"Some models support vision/image input in addition to text, which is relevant when an agent must process documents or images","Modalities only affect billing, never functionality",All models support every modality identically,,B,Text-only versus vision-capable models affects whether an agent can process image-based documents.
42,5,Model Management,MC,What is the business value of the AI Gateway?,"A single, unified interface to route and format requests across multiple model providers, avoiding one-off integration code per provider",A tool exclusively for billing invoices,A replacement for Knowledge Bases,A UI theme editor,,A,AI Gateway enables flexibility to switch or combine providers without re-architecting agents.
43,5,Model Management,MC,How does AI Gateway configuration differ between SaaS and on-premises deployments?,SaaS registers models per service instance; on-prem registers models via REST API calls scoped to the on-prem instance,There is no difference between SaaS and on-prem configuration,On-prem deployments cannot use the AI Gateway at all,SaaS deployments require manual XML file edits,,A,Both require at least one default LLM and one default embedding model registered per instance.
44,5,Model Management,MC,When should model policies be updated according to Task 5.4?,"Never—once set, they are permanent","As business, cost, or governance needs evolve",Only once per decade,Only when the vendor requests it,,B,Policies should be updated/removed as needs change over time.
45,5,Model Management,MC,Approximately what percentage of the exam does Section 5 (Model Management) account for?,8%,14%,20%,28%,,B,Section 5 accounts for approximately 14% of the exam.
46,5,Model Management,MC,Which ADK CLI command pattern is used to register a model via the AI Gateway?,"orchestrate models add --name ""<model>"" --app-id <connection>",orchestrate knowledge-bases import -f <file>,orchestrate agents deploy --name <name>,orchestrate toolkits add --kind mcp,,A,orchestrate models add registers a model against a connection via the AI Gateway.
47,5,Model Management,MC,"Which consideration is part of 'Choose an LLM' beyond cost, accuracy, and latency tradeoffs?",The agent's favorite color,"Input modalities—whether the model must support text, image, or audio for the task",The number of Slack channels connected,The company's tax identification number,,B,Input modality is a named consideration alongside cost/accuracy/latency and task appropriateness.
48,6,"Security, Compliance, and Observability",MC,What authentication mechanisms does watsonx Orchestrate rely on?,Only handwritten signatures,"Standard enterprise identity mechanisms—API keys/tokens for programmatic (ADK/API) access, and federated identity/IAM integration for user sign-in",No authentication is required by design,Only biometric authentication,,B,Mechanisms vary by deployment (SaaS vs. on-prem Software Hub with Cloud Pak for Data identity services).
49,6,"Security, Compliance, and Observability",MC,What is the purpose of activity and audit logs?,To slow down the system intentionally,"Detailed records of events/activities essential for monitoring system behavior, diagnosing issues, ensuring compliance, and investigating security incidents",To replace the need for RBAC entirely,To generate marketing reports only,,B,"Audit logs support compliance, troubleshooting, and security review."
50,6,"Security, Compliance, and Observability",MC,How can audit logs be extended for centralized enterprise log management?,They cannot be extended beyond the native UI,They can be forwarded to external logging systems for centralized management and longer retention,They are automatically deleted after one day with no export option,Only by manual screenshotting,,B,"External logging integration supports centralized, longer-retention log management."
51,6,"Security, Compliance, and Observability",MC,What does Langfuse's native ADK integration provide?,"It forwards telemetry (traces, spans, logs) automatically, letting developers inspect full execution traces for local Developer Edition and deployed agents",It only works for billing reconciliation,It replaces the need for the ADK entirely,It is unrelated to observability,,A,"Langfuse gives visibility into prompts, intermediate reasoning, tool calls, and outputs."
52,6,"Security, Compliance, and Observability",MC,How are governance activities applied across the agent/assistant/workflow lifecycle?,Only as a one-time gate before deployment,"From initial design (guidelines) through build/test (evaluation, vulnerability testing) to deployment and ongoing operation (observability, audit logging, policy enforcement)",Only during production incidents,"Governance activities do not apply to workflows, only agents",,B,"Governance is continuous across the full lifecycle, not a single gate."
53,6,"Security, Compliance, and Observability",MC,"Approximately what percentage of the exam does Section 6 (Security, Compliance, and Observability) account for?",5%,11%,20%,30%,,B,Section 6 accounts for approximately 11% of the exam.
54,6,"Security, Compliance, and Observability",MC,What distinguishes external logging from the built-in dashboards?,"External logging forwards activity data to systems like SIEM for centralized enterprise monitoring, while built-in dashboards surface metrics natively in the platform UI",They are the exact same feature with different names,Built-in dashboards require external logging to function at all,External logging disables the built-in dashboards,,A,External logging complements native dashboards by feeding a centralized SIEM/monitoring system.
55,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What is involved in creating and configuring new watsonx Orchestrate environments?,"Setting up environment instances with appropriate naming conventions, regions, and resource tiers using the ADK CLI or console",Only renaming the Dev environment to Prod,Deleting all existing agents first,Skipping configuration entirely and relying on defaults,,A,Environment setup uses ADK CLI environment-management commands or the console.
56,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"What does environment backup, restore, and migration typically involve?","Exporting/importing agent, tool, connection, and knowledge-base configurations, and managing environment versioning",Deleting configurations permanently with no recovery option,Manually re-typing every agent definition from memory,Ignoring migration needs entirely,,A,"This supports recreating, restoring, or migrating environments reliably, e.g., between regions or on-prem to cloud."
57,7,"Deployment, Scaling, Optimization, and Resiliency",MC,Why is knowledge base versioning important?,"To track document versions, perform incremental updates, and maintain snapshot/rollback procedures so a bad ingestion can be reversed",Versioning is unnecessary since documents never change,To increase storage costs intentionally,Only to satisfy an arbitrary naming convention,,A,Versioning supports safe incremental updates and rollback if ingestion goes wrong.
58,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What is involved in building and managing autonomous agents for production?,"Defining agent goals, connecting skills/tools, implementing decision-making logic, and configuring overall agent behavior",Only naming the agent with no other configuration,Removing all tools before deployment,Skipping goal definition entirely,,A,"Production agent management covers goals, tools, decision logic, and behavior configuration."
59,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What does troubleshooting and optimizing agent behavior typically involve?,"Debugging conversation flows using traces/logs, optimizing prompt engineering, and iteratively improving response accuracy based on observed failures",Deleting the agent and never redeploying it,Ignoring all logs and traces,Randomly changing settings with no diagnostic basis,,A,"Traces and logs drive targeted, iterative improvement."
60,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What does implementing automated testing in a CI/CD pipeline leverage from Section 4?,"The ADK Evaluation Framework, as unit tests, integration tests, and conversation-flow validation gating promotion",No testing framework at all; testing is purely manual,Only a spreadsheet checklist with no automation,Disabling all tests to speed up deployment,,A,"Automated testing stages must pass before promotion continues, leveraging the Evaluation Framework."
