Question_Number,Domain_Number,Domain_Name,Question_Type,Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation
13,2,Agent and Assistant Integration,MC,Which best-practice design pattern is recommended for multi-agent architectures?,Deeply nest collaborators to maximize flexibility,"Use one main orchestrator/supervisor agent with domain-specific collaborators, organized by business domain, avoiding deep nesting",Give every agent access to every tool in the org,Avoid using collaborator agents altogether,,B,"Deep nesting adds latency and reasoning complexity; shallow, domain-organized structures are recommended."
14,2,Agent and Assistant Integration,MC,"After designing a flow in the Langflow visual editor, what is the next step to bring it into watsonx Orchestrate?","Export the flow as JSON, then import it via the ADK CLI (orchestrate tools import -k langflow ...)",Delete the flow and start over in Python,Email the flow diagram to IBM Support,"Publish it directly to a public GitHub repo, which auto-imports it",,A,"Export as JSON, then import with the ADK CLI, mapping credentials to Orchestrate connections."
15,2,Agent and Assistant Integration,MC,"In the real-world HR onboarding scenario described in the study guide, what does the supervisor agent do?",Handles every step itself with no delegation,"Delegates document collection, benefits enrollment, and IT-equipment provisioning to different collaborator agents",Ignores IT provisioning entirely,Refuses to use any collaborators,,B,"The supervisor agent decomposes onboarding across specialized collaborators, each auditable."
16,2,Agent and Assistant Integration,MC,What must be confirmed about an assistant or agent before it can be integrated as a collaborator?,"That it exposes a supported interface—native, external_chat, or A2A",That it was created more than a year ago,That it has no tools attached,That it uses only the Granite model family,,A,A supported interface type must be confirmed before integration.
17,2,Agent and Assistant Integration,MC,A team wants to reuse a LangGraph agent they already built in production without rewriting it. What is the recommended approach?,Rebuild it entirely as a native watsonx Orchestrate agent,Import it directly into watsonx Orchestrate so it runs under the same governance layer,Discard it and only use IBM Granite-based agents,This is not possible in watsonx Orchestrate,,B,LangGraph agents can be imported directly and governed under the same control plane.
18,2,Agent and Assistant Integration,MC,"Approximately what percentage of the C1000-207 exam does Section 2 (Agent and Assistant Integration) represent, making it the heaviest-weighted section?",10%,14%,20%,30%,,C,Section 2 is the single heaviest-weighted section at approximately 20%.
19,2,Agent and Assistant Integration,MC,What role does a description field play on a collaborator agent within a supervisor's configuration?,None—descriptions are cosmetic only,It tells the supervisor LLM when to route a request to that collaborator,It sets the collaborator's billing tier,It configures the network firewall,,B,A clear description is critical so the LLM knows when to invoke that collaborator.
20,2,Agent and Assistant Integration,MC,Why might an organization choose external agents over rebuilding equivalent functionality natively?,To avoid all forms of governance,"Investment protection and consolidation under one governed, observable control plane",Because native agents are always more expensive,Because external agents require no testing,,B,External agents preserve prior investment while unifying governance and observability.
21,3,Workflow and Orchestration Design,MC,What is the purpose of a 'user activity' step in an agentic workflow?,"To pause the workflow to collect input, request an approval, or hand off a decision to a person, then resume automatically",To permanently end the workflow,To delete the workflow's audit trail,To bypass all governance controls,,A,"User activities implement human-in-the-loop tasks like approvals and inputs, captured for audit."
22,3,Workflow and Orchestration Design,MC,"Before building a workflow, what should be identified regarding 'required agents and skills'?","Which steps require an agent's reasoning versus a deterministic tool call, and which reusable skills/tools already exist in the catalog",Only the final invoice total,The workflow's marketing tagline,The number of Slack channels available,,A,This scoping step distinguishes reasoning-dependent steps from deterministic tool calls and identifies reuse.
23,3,Workflow and Orchestration Design,MC,What is the correct order of steps to bring an MCP tool into production use in watsonx Orchestrate?,Import via ADK → register with MCP server → validate with MCP Inspector → configure the consuming agent,Register with the MCP server → validate with MCP Inspector → import via ADK → configure the consuming agent,Configure the agent → register the server → skip validation → deploy,Deploy to Prod → validate → register → import,,B,The correct sequence is register → validate with MCP Inspector → import via ADK → configure the agent.
24,3,Workflow and Orchestration Design,MC,What does ContextForge MCP Gateway provide?,"A proxy/registry for MCP tools that lets you register multiple MCP servers, combine tools into 'virtual servers,' and expose a curated, secured subset to agents",A replacement for Environments,A billing calculator,A tool for editing Word documents,,A,ContextForge centralizes governance over which MCP tools are discoverable and callable.
25,3,Workflow and Orchestration Design,MC,How can the watsonx Orchestrate Agent Catalog be browsed?,"By domain, provider (IBM or partner), and the systems they connect to (e.g., Microsoft 365, Salesforce, SAP, Workday, AWS)",Only alphabetically with no filters,Only by exact agent ID,"It cannot be browsed, only searched by keyword",,A,"The Catalog supports browsing by domain, provider, and connected systems."
26,3,Workflow and Orchestration Design,MC,What percentage of the C1000-207 exam does Section 3 (Workflow and Orchestration Design) account for?,8%,14%,20%,25%,,B,Section 3 accounts for approximately 14% of the exam.
27,3,Workflow and Orchestration Design,MC,"When registering a remote MCP server, which two parameters specify how to reach it?",--url and --transport (sse or streamable_http),--file and --format,--region and --zone,--username and --password only,,A,Remote MCP registration specifies a --url and a --transport of sse or streamable_http.
28,3,Workflow and Orchestration Design,MC,Which best describes the relationship between a trigger and a decision point in a workflow?,A trigger starts the flow; a decision point evaluates conditions later in the sequence to branch the flow,They are the same construct,A decision point always starts the flow,Triggers occur only after outcomes,,A,The flow outline is trigger → actions → decision points → outcomes.
29,4,Agent Development,MC,When should an agent rely on LLM reasoning alone rather than calling a tool or retrieving from a knowledge base?,For precise calculations with side effects,"For natural-language understanding, summarization, creative drafting, or brainstorming that doesn't require precise data or execution",Whenever auditability is required,Never—LLM reasoning alone is unsupported,,B,LLM reasoning alone suits language-centric tasks without a need for grounding or execution.
30,4,Agent Development,MC,"Why should governance, ethics, and tone guidelines be embedded into agent design (Guidelines)?","To explicitly encode what data the agent may not disclose, what actions require human approval, and what tone is required, so compliance isn't left to chance",Guidelines are optional cosmetic text with no functional effect,"Guidelines only apply after deployment, never during design",Guidelines replace the need for RBAC entirely,,A,"Guidelines are behavioral rules the agent must always follow, encoding governance and ethics."
31,4,Agent Development,MC,What are the structural elements that make up an agent?,"Tools, connections, metadata, knowledge bases, and Agentic Workflows",Only a name and description,"Only the LLM, with no other elements",Billing codes and invoices,,A,These building blocks are referenced from the agent's definition and interact through its LLM.
32,4,Agent Development,MC,What is a Connection's role in agent configuration elements?,"The mechanism linking tools/agents securely to external systems (credentials, endpoints, auth type)",A visual theme setting,A type of knowledge base,A deprecated construct,,A,Connections carry authentication and endpoint details for reaching external systems.
33,4,Agent Development,MC,"Why does agent evaluation check the reasoning trajectory, not just the final answer?",Because agents can fail at intermediate steps and still produce a plausible-looking final answer,Because final answers are never checked,Because trajectories are irrelevant to accuracy,Because the ADK cannot evaluate final answers,,A,"Evaluation checks whether correct tools were called, in the right order, with the right arguments."
34,4,Agent Development,MR,Which prompting techniques are named as common when designing AI agents? (Select all that apply),ReAct-style prompting (interleaving reasoning and tool calls),Planner-style prompting for multi-step tasks,"Clear, unambiguous tool and agent descriptions",Guideline/guardrail instructions,Randomizing the system prompt on every request,"A,B,C,D","ReAct-style, planner-style, clear descriptions, and guideline instructions are all named techniques."
35,4,Agent Development,MC,What is the purpose of connecting AI agents to communication channels?,To restrict agents to a single internal test UI forever,"To let end users interact with a deployed agent wherever they already work, rather than forcing a separate interface",To disable the agent's tools,To bypass all authentication requirements,,B,Channels connect the same underlying agent to existing user touchpoints.
36,4,Agent Development,MC,"Before promoting a channel-connected agent to production, what testing approach is recommended?","Test end-to-end through each configured channel, not just the internal chat UI",Rely solely on the internal chat UI test,Skip testing since the internal UI is sufficient,Test only once per year,,A,"Testing through the actual channel confirms formatting, latency, and authentication behave correctly there."
37,4,Agent Development,MC,Which of the following best distinguishes 'data moves between external sources and the agent' as an integration/connectivity concept?,"Request/response payloads passed through a tool call, mapped to and from the agent's reasoning context",A description of the agent's UI theme,A billing reconciliation process,A concept unrelated to tools or connections,,A,Data flow is about payloads moving through tool calls into and out of the agent's reasoning context.
38,4,Agent Development,MC,A design calls for an agent to answer questions strictly from a verified internal policy document. What should it use?,"LLM reasoning alone, ignoring the document",Retrieval from a Knowledge Base,A code block with hardcoded answers,A channel configuration change,,B,Grounding in verified enterprise content is the defining use case for Knowledge Base retrieval.
39,4,Agent Development,MC,What is the purpose of writing a precise purpose statement when designing an agent?,To satisfy a legal formality with no design impact,"To clearly state what the agent does and does not do, guiding which tools, knowledge bases, and connections it needs",To determine the agent's price,To choose the chat widget's font,,B,A precise purpose statement anchors the rest of agent design and scope.
40,5,Model Management,MC,What kinds of tasks do Copilot commands support inside the IDE?,"Scaffolding a new agent, refining prompts/instructions, generating or updating tool code, and querying WXO documentation and the ADK CLI",Only formatting code style,Only compiling C++ code,Only managing email inboxes,,A,"Copilot commands give the IDE the knowledge needed to author agents, connections, and tools."
41,5,Model Management,MR,Which third-party model providers/paths are named as supported alongside IBM Granite models? (Select all that apply),Llama,"OpenAI (e.g., GPT-OSS)",AWS Bedrock,Ollama for local development,A proprietary in-house-only model format with no documented path,"A,B,C,D","Llama, OpenAI/GPT-OSS, AWS Bedrock, and Ollama are all named as supported paths."
42,5,Model Management,MR,Which features does the AI Gateway provide? (Select all that apply),Model/embedding registration,"Routing policies (default model, failover, load balancing)","Centralized credential management (e.g., integration with a secrets manager)",Automatic generation of marketing copy,,"A,B,C","Registration, routing policies, and centralized credential management are named AI Gateway features."
43,5,Model Management,MC,What is a 'virtual model' in the context of AI Gateway capabilities?,A model that abstracts the underlying provider from the agent definition,"A model that only exists in documentation, never runtime",A deprecated legacy construct,A model exclusive to Knowledge Bases,,A,Virtual models let agent definitions stay stable while the underlying provider is swapped.
44,5,Model Management,MC,What role do agent ops and governance dashboards play regarding model policies?,None—dashboards are unrelated to policies,"Usage, cost, and performance visibility surfaced through governance dashboards often informs when a new or adjusted model policy is warranted",They automatically delete underperforming models with no human review,They replace the need for AI Gateway entirely,,B,Dashboard insights inform when/how model policies should change.
45,5,Model Management,MC,Which factor is explicitly called out as NOT a valid sole criterion for model selection?,Cost,"Popularity alone, ignoring cost/accuracy/latency",Accuracy,Latency,,B,"Popularity alone, without weighing cost/accuracy/latency, is explicitly an invalid sole criterion."
46,5,Model Management,MC,What is a key reason to import an existing model policy rather than recreate it manually in a new environment?,To ensure consistent governance and guardrails as the policy is promoted across environments,To bypass all authentication checks,To avoid ever testing the policy,Manual recreation is always faster and preferred,,A,Reusing policies maintains consistent governance/guardrails across environments.
47,5,Model Management,MC,What does the AI Gateway's centralized credential management typically integrate with?,A secrets manager,A public wiki page with no access control,An unsecured shared spreadsheet,Nothing; credentials are stored in plaintext by design,,A,Centralized credential management can integrate with a secrets manager for secure storage.
48,6,"Security, Compliance, and Observability",MC,How does RBAC govern user permissions in watsonx Orchestrate?,"It defines distinct roles with varying access/privileges so users only have permissions necessary for their specific tasks (e.g., building vs. deploying vs. chatting)",RBAC grants every user full access by default,"RBAC only applies to billing, not to tasks",RBAC is not implemented in watsonx Orchestrate,,A,"RBAC extends to team-scoped workspaces in the Agent Catalog, restricting visibility and edit rights by team."
49,6,"Security, Compliance, and Observability",MC,What does IBM's published security checklist for authN/authZ/audit help administrators verify?,Only the chatbot's response time,"That identity mechanisms are configured correctly, RBAC roles are assigned appropriately, and audit logging is enabled and retained per policy",Only the color scheme of the UI,Nothing actionable; it is purely informational with no verification steps,,B,"The checklist systematically covers identity, RBAC, and audit logging verification."
50,6,"Security, Compliance, and Observability",MC,What do built-in dashboards surface for monitoring agent analytics?,Only the agent's file size,"Conversation/interaction metrics—volume, error rates, response times, and user satisfaction signals",Only the developer's name,Nothing useful for operators,,B,Built-in dashboards give operators visibility without needing a separate tool.
51,6,"Security, Compliance, and Observability",MC,"What is the primary value of governance dashboards, policy controls, and monitoring in watsonx Orchestrate?","They provide a centralized way to see agent inventory, enforce policy on approved models/tools, and monitor performance/compliance across the entire agentic estate",They only display marketing statistics,They are optional and provide no operational value,They exist only for billing purposes,,A,Governance dashboards give administrators a control-plane view regardless of which framework built each agent.
52,6,"Security, Compliance, and Observability",MC,How does watsonx Orchestrate align with enterprise security and compliance frameworks regarding data residency?,"Through RBAC, encrypted/managed credentials, audit logging, and hybrid deployment options that let regulated organizations keep data within required jurisdictional or infrastructure boundaries",Data residency is not supported at all,Only through a single fixed cloud region with no flexibility,By storing all data unencrypted for easy access,,A,Hybrid deployment combined with security controls supports jurisdictional/infrastructure requirements.
53,6,"Security, Compliance, and Observability",MC,Which term describes malicious input attempting to override an agent's system instructions?,Load balancing,Prompt injection,Failover,Chunking,,B,Prompt injection is the classic security risk tied to agent prompts.
54,6,"Security, Compliance, and Observability",MC,Which observability signal would most directly help diagnose an agent calling the wrong tool for a request?,Token usage alone,Trajectory deviations,UI color contrast,Environment naming convention,,B,Trajectory deviations flag cases where an agent calls the wrong tool or skips an expected step.
55,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What is the purpose of managing environment variables and configurations across environments?,"To ensure the same agent/tool definitions behave correctly as they move between environments, via environment-specific settings like API keys and connection parameters",To make every environment identical with no differences allowed,To disable all connections,To remove the need for Dev/Test/Prod separation,,A,Environment-specific settings let shared definitions behave correctly per environment.
56,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What is involved in creating and configuring a knowledge base?,"Initializing instances with appropriate schemas, storage backends, and retrieval configurations to ground agent responses in enterprise content",Only setting a display name with no other configuration,Disabling all document uploads,Configuring only the chat UI theme,,A,Knowledge base setup establishes the technical foundation for grounded retrieval.
57,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What does optimizing retrieval performance and relevance for a knowledge base involve?,"Tuning search parameters (e.g., chunk size, retrieved passages), implementing filtering by metadata, and monitoring query latency/accuracy",Deleting the knowledge base entirely,Ignoring chunk size since it has no effect,Only changing the KB's display color,,A,Chunking strategy and metadata handling directly affect retrieval quality.
58,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What does configuring and managing API gateways for agent capabilities involve?,"Setting up gateway endpoints, implementing routing rules, and configuring rate limiting and authentication",Only changing a font size setting,Disabling all authentication for simplicity,Ignoring rate limiting entirely,,A,"Gateways expose or front agent capabilities with routing, rate limiting, and auth."
59,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What is the first step in designing a CI/CD pipeline architecture for watsonx Orchestrate artefacts?,"Defining pipeline stages (build, test, deploy), identifying artefacts, and establishing promotion workflows across environments",Deploying directly to Prod with no pipeline stages,Skipping artefact identification entirely,Only configuring a Slack notification with no pipeline logic,,A,"Pipeline architecture starts with defined stages, artefacts, and promotion workflows."
60,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What does configuring deployment automation include?,"Automated deployment triggers, approval gates (human sign-off before Prod), and rollback mechanisms if a regression is introduced",Removing all approval gates for speed,Deploying with no rollback plan whatsoever,"Only automating Dev deployments, never Test or Prod",,A,Approval gates and rollback mechanisms protect production during automated deployment.
