Question_Number,Domain_Number,Domain_Name,Question_Type,Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation
32,4,Agent Development,MC,What is the ADK Evaluation Framework's basic workflow?,Define 'stories' describing desired outcomes → generate synthetic test cases (including expected tool-call trajectories) → run evaluation → inspect results,Skip stories and only check final answers,Manually eyeball chat transcripts with no framework,"Deploy to Prod, then evaluate afterward with no pre-release testing",,A,The framework generates test cases from stories and evaluates both outputs and tool-call trajectories.
33,4,Agent Development,MC,What does vulnerability testing for an agent primarily check for?,Only UI color contrast,"Adversarial or malformed input attempting to override instructions, extract system prompts, or trigger unintended tool calls",Whether the agent's name is unique,Network bandwidth usage only,,B,Vulnerability testing confirms guardrails hold against adversarial input.
34,4,Agent Development,MR,Which security risks are associated with prompts in AI agents? (Select all that apply),Prompt injection overriding system instructions,System-prompt/instruction leakage,Unintended or excessive tool invocation,Guaranteed 100% accuracy with no risk at all,,"A,B,C","Prompt injection, instruction leakage, and unintended tool invocation are the named risks."
35,4,Agent Development,MC,What must be supplied when configuring an agent to connect to a channel?,Nothing—channels connect automatically with zero configuration,"Required credentials/endpoints for that platform, configured per target environment",Only the agent's name,A hand-written letter to IBM Support,,B,Channel configuration requires credentials/endpoints scoped to the target environment.
36,4,Agent Development,MC,What is the recommended tool-count ceiling per agent to preserve tool-selection accuracy?,Roughly 10 tools,Exactly 3 tools,"Unlimited, with no practical ceiling",Exactly 100 tools,,A,Accuracy tends to degrade past roughly ten tools per agent.
37,4,Agent Development,MC,A design calls for an agent to draft marketing copy with no need for live data. Which capability should it primarily rely on?,A tool call with side effects,LLM reasoning alone,A knowledge base lookup only,An MCP tool for financial calculations,,B,Creative drafting with no precise data requirement suits LLM reasoning alone.
38,4,Agent Development,MC,What best summarizes 'key inputs and outputs' of the agent build process?,"Inputs are the agent's design artefacts (profile, tool list, model choice); the output is a deployable agent definition (YAML via ADK or a saved Agent Builder configuration)",Inputs are billing invoices; outputs are marketing brochures,There are no defined inputs or outputs,Inputs and outputs are identical to a Knowledge Base's schema,,A,"Design artefacts feed the build process, producing a deployable agent definition."
39,4,Agent Development,MC,What does 'evaluate the design for reusability and scalability' primarily encourage designers to avoid?,Using any collaborator agents at all,"One broad, do-everything agent with an unmanageable tool count",Using knowledge bases for grounding,Testing before deployment,,B,Favoring narrowly scoped agents composed via collaborators improves reuse and scalability.
40,5,Model Management,MC,What is the general cost/accuracy/latency tradeoff between larger and smaller models?,Larger models generally cost more and respond more slowly but reason more reliably; smaller/quantized models are faster and cheaper but may need more guidance,Larger models are always cheaper and faster,There is no tradeoff; all models perform identically,Smaller models always outperform larger ones on every metric,,A,This is the standard cost/accuracy/latency tradeoff described for model selection.
41,5,Model Management,MC,How are deprecated models typically handled in watsonx Orchestrate?,They are removed abruptly with no warning,They are flagged with a migration path rather than removed abruptly,They continue to run forever with no changes ever,Deprecation never occurs,,B,Deprecated models are flagged with a migration path.
42,5,Model Management,MR,Which example use cases does the AI Gateway support? (Select all that apply),Bring-your-own-model (BYOM) for a specific reasoning task such as Text2SQL,Running lightweight/local models via Ollama for development,Registering embedding models for knowledge-base semantic search,Manually emailing model weights between teams,,"A,B,C","BYOM, local Ollama models, and embedding-model registration are named use cases."
43,5,Model Management,MC,Where are model policies typically managed?,Only via a physical paper form,"Through the AI Gateway/model administration interface, or via ADK/API for on-prem and automated deployments",They cannot be managed after creation,Only by contacting IBM Support directly,,B,"Policies are managed via the admin interface or ADK/API, and can be edited or removed as availability changes."
44,5,Model Management,MC,How can a model policy validated in Dev be consistently promoted into Prod?,It cannot be promoted; it must be manually recreated each time with no guarantee of consistency,Policy definitions can be exported/imported so that a validated policy is promoted consistently rather than manually recreated per environment,Only by deleting and rebuilding the entire environment,By emailing the JSON file to IBM Support for manual application,,B,Policies can be exported/imported similar to other ADK-managed assets for reuse across environments.
45,5,Model Management,MC,"What must be registered at minimum per AI Gateway instance, in both SaaS and on-prem deployments?",Nothing is required by default,At least one default LLM and one default embedding model,Exactly ten LLMs and ten embedding models,A dedicated GPU cluster purchased separately,,B,Both deployment types require at least one default LLM and one default embedding model registered.
46,5,Model Management,MC,What is the first step in the Orchestrate Copilot workflow described in Task 5.1?,Deploy directly to production with no setup,"Install and configure the Orchestrate Copilot for Visual Studio Code, initializing an agent development workspace",Delete the ADK entirely,Disable all Copilot commands,,B,Setup begins with installing/configuring the Copilot extension and initializing the workspace.
47,5,Model Management,MC,A team wants to run a model locally for development without any cloud dependency. Which named option supports this?,Ollama,A mainframe terminal emulator,A fax-based API,Manual spreadsheet lookups,,A,Ollama is named as a way to run lightweight/local models for development without cloud dependency.
48,6,"Security, Compliance, and Observability",MC,What do Connections encapsulate for secure API and gateway access?,Marketing copy only,"Credentials (API keys, OAuth tokens, basic auth) and endpoints for inbound and outbound access, scoped and rotated per enterprise policy",A record of every chat transcript,Nothing; connections are purely cosmetic,,B,Connections should be scoped and rotated according to enterprise security policy.
49,6,"Security, Compliance, and Observability",MC,"At which stages of the agent lifecycle should authentication, authorization, and audit concerns be considered?","Only at deployment, as an afterthought","Design, build, test, and operate—every stage of the lifecycle, not bolted on only at deployment",Only during the design stage,They should never be considered at all,,B,"These concerns should be considered throughout design, build, test, and operate."
50,6,"Security, Compliance, and Observability",MR,Which key observability metrics help diagnose performance and reliability issues? (Select all that apply),Latency per step,Tool-call success/failure rates,Token usage/cost,Trajectory deviations (wrong tool called or skipped step),The agent's marketing tagline length,"A,B,C,D","Latency, tool-call rates, token usage/cost, and trajectory deviations are the named key signals."
51,6,"Security, Compliance, and Observability",MC,How does watsonx Orchestrate support enterprise regulatory frameworks?,By certifying itself to every possible named regulation directly,"Policy enforcement and visibility (audit logs, governance dashboards, RBAC) collectively give organizations the evidence trail needed, while remaining framework-agnostic",By ignoring regulatory requirements entirely,Only by disabling all agent capabilities,,B,The platform is framework-agnostic but provides the evidence trail organizations need for compliance.
52,6,"Security, Compliance, and Observability",MC,What should an agent's behavioral profile explicitly define from a governance/compliance perspective?,Only its color scheme,"What it must never disclose or do, what requires human approval, and how it should behave when uncertain",Nothing—behavioral profiles are purely cosmetic,Only its pricing tier,,B,"The behavioral profile itself is treated as a compliance control, not just a UX nicety."
53,6,"Security, Compliance, and Observability",MC,Why is continuous governance emphasized rather than a single deployment-time check?,"Because governance activities apply across design, build, test, deploy, and operate stages for agents, assistants, and workflows alike",Because a single check is always sufficient,Because governance only matters after a security incident,Because governance is optional for internal-only agents,,A,"Governance spans the entire lifecycle, not just deployment."
54,6,"Security, Compliance, and Observability",MC,What is one specific benefit of integrating watsonx Orchestrate with Langfuse?,It disables all logging by default,"It provides an open-source LLM observability platform with a native ADK integration for tracing prompts, tool calls, and outputs",It replaces the need for RBAC,It is used only for billing reconciliation,,B,Langfuse's native integration forwards telemetry automatically for detailed execution tracing.
55,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What is tracked when monitoring environment health and resource utilization?,"Performance metrics, capacity limits, and system alerts per environment",Only the number of agents by name,Only marketing metrics,Nothing; environments are not monitored,,A,This monitoring catches resource pressure or failures before they affect users.
56,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What does implementing vector embeddings and indexing enable for a knowledge base?,Semantic (similarity-based) search over the ingested content,Only exact keyword matching with no semantic capability,Automatic language translation,Billing reconciliation,,A,"The embedding model, vector database, and indexing parameters drive semantic search relevance."
57,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What is involved in deploying and configuring conversational assistants for production use?,"Creating assistant instances, connecting them to knowledge bases, and configuring their conversation flows",Only setting a display name with no flow configuration,Disabling all knowledge base connections,Deploying with no testing whatsoever,,A,Assistant deployment includes conversation flow configuration and KB connections.
58,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What ongoing activity does monitoring agent/assistant performance in production involve?,"Tracking conversation metrics, error rates, user satisfaction, and response times on an ongoing basis",A one-time check performed only at initial deployment,Ignoring performance once deployed,Only tracking the agent's file size,,A,This ties back to the observability capabilities covered in Section 6.
59,7,"Deployment, Scaling, Optimization, and Resiliency",MC,What does automated artifact building and packaging accomplish in a CI/CD pipeline?,"Creating automated processes (via the ADK CLI) for packaging skills, assistants, and configuration bundles so they deploy consistently",Manually assembling every deployment package by hand each time,Skipping packaging entirely and deploying loose files,Disabling versioning during packaging,,A,"Automation replaces manual, inconsistent assembly of deployment packages."
60,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"Approximately what percentage of the exam does Section 7 (Deployment, Scaling, Optimization, and Resiliency) represent?",5%,10%,18%,25%,,B,"Section 7 accounts for approximately 10% of the exam, the lightest-weighted section alongside Section 6."
