Question_Number,Domain_Number,Domain_Name,Question_Type,Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation
15,2,Agent and Assistant Integration,MC,"A LangGraph agent already runs in production and a team wants to reuse it inside watsonx Orchestrate without a full rewrite. Which of these is the recommended approach, and why would 'export it as a Langflow JSON flow' be the wrong path specifically for a LangGraph agent (as opposed to a Langflow-authored flow)?","Integrate it as an external agent (e.g., via A2A or an OpenAI-compatible endpoint) using the ADK; exporting a Langflow JSON flow is the wrong path here because Langflow export applies to flows built in Langflow's own visual editor, not to an existing production agent built in a different framework like LangGraph","Rebuild the entire LangGraph agent from scratch as a native WXO Agentic Workflow, since external frameworks cannot be reused under any circumstances",Convert the LangGraph agent into a Knowledge Base document containing its source code,Disable the AI Gateway so the LangGraph agent's own model calls bypass WXO routing entirely,,A,"Reusing an existing agent built on another framework fits the external-agent integration pattern (A2A / OpenAI-compatible endpoint via the ADK), not the Langflow-export path, which specifically applies to flows authored in Langflow's own visual editor."
16,2,Agent and Assistant Integration,MC,"Which statement about the Agent Catalog and connectors (e.g., to Workday, SAP, Salesforce) is accurate, versus a common misconception?","The Agent Catalog lets teams discover and reuse pre-built connectors to systems like Workday, SAP, or Salesforce rather than building each integration from scratch; the misconception is that every connector must be custom-built via the ADK regardless of whether a Catalog connector already exists","The Agent Catalog contains no connectors at all; only raw Python tools built via the ADK can reach Workday, SAP, or Salesforce","Catalog connectors to systems like Workday or SAP require no connection/credential configuration whatsoever, unlike custom tools",Catalog connectors can only be used in the Dev environment and can never be promoted to Prod,,A,"The Catalog provides discoverable, reusable connectors to common enterprise systems, reducing the need to build every integration from scratch via the ADK — though Catalog connectors still require tenant-specific connection/credential configuration like any other tool."
17,2,Agent and Assistant Integration,MR,A design review flags several proposed multi-agent architectures as poor practice. Select ALL of the following that represent a DOCUMENTED poor multi-agent design choice; exclude anything that is actually a recommended practice.,A single generalist agent holding 40+ tools instead of decomposing into narrowly scoped collaborators,Deeply nesting collaborator agents many layers deep,"Organizing collaborators by business domain with clear, specific description fields","Giving every collaborator an identical, generic description like 'general purpose agent'",,"A,B,D","An overloaded generalist agent, deep nesting, and vague/identical descriptions are all documented poor practices. Organizing by business domain with clear descriptions is the recommended practice, not a poor one."
18,2,Agent and Assistant Integration,MC,"Before promoting a new Assistant-Agent integration from Dev to Test/Prod, what validation approach is correct, and what is the flawed shortcut some teams mistakenly take?","Correct: validate the integration against the specific use cases/tasks it was designed to support, in a Test-like environment, before promotion. Flawed shortcut: assuming that because the integration worked once manually in Dev during initial development, it is automatically ready for Prod with no further validation",Correct: skip validation entirely and rely solely on production observability to catch problems after go-live,Correct: validate only the UI theme consistency between Assistant and Agent responses,"Correct: validate only that RBAC permissions exist, with no functional testing of the integration itself",,A,"Integrations should be validated against their defined use cases/tasks before promotion, rather than assuming a single successful manual Dev interaction is sufficient evidence of Prod readiness."
19,2,Agent and Assistant Integration,MC,"Which of the following four statements about External A2A agents is FALSE, while the other three are accurate?","They are configured through the ADK rather than the no-code Agent Builder, reflecting their more technical, cross-framework nature",They can represent agents hosted on other vendor platforms such as Salesforce Agentforce or Amazon Bedrock AgentCore,They allow an organization to reuse an existing specialized investment rather than rebuilding it natively inside WXO,They must always be nested at least three collaborator layers deep before they can be invoked by a supervisor agent,,D,"There is no documented requirement that External A2A agents be nested at least three layers deep — in fact, deep nesting is discouraged generally due to compounding latency/complexity. Statements A, B, and C are accurate."
20,2,Agent and Assistant Integration,MC,"A team wants to browse what agents and reusable assets already exist across the organization before building something new, and separately wants to understand who is allowed to view or edit a specific one of those existing agents. Which single capability addresses BOTH needs together, and why would treating them as two separate, unrelated systems be a misunderstanding?","The Agent Catalog addresses both, since it is the discoverable repository of reusable assets AND has RBAC/lifecycle governance applied to control view/edit access within it — treating discovery and access-control as two unrelated systems misses that governance is applied directly within the same Catalog used for discovery","Discovery is handled by the AI Gateway, while access control is handled entirely separately by Knowledge Bases, with no shared system",Discovery and access control are both handled exclusively by the ADK CLI with no Catalog involvement,Neither need is addressed by any documented capability; both must be tracked manually in a spreadsheet,,A,"The Agent Catalog serves as both the discoverable repository of reusable assets and the place where RBAC/lifecycle governance controls who can view or edit each asset — a single system for both needs, not two separate ones."
21,3,Workflow and Orchestration Design,MC,"A workflow needs to: (1) accept a submitted expense report, (2) apply a deterministic validation rule (amount under a threshold), (3) summarize an attached free-text justification for a human reviewer, and (4) require the reviewer's explicit sign-off before posting to the finance system. Which combination of elements correctly implements steps 2-4, respectively?","(2) a code block for deterministic validation, (3) a generative prompt step for summarization, (4) a user activity requiring human approval — each sub-task mapped to the element suited to its nature, not all three collapsed into a single generative prompt step","(2) a generative prompt step, (3) a code block, (4) an MCP tool registration — reversing which steps are deterministic versus language-centric","All three steps (2, 3, and 4) should be implemented as a single generative prompt step, since generative prompts can approximate validation, summarization, and human approval simultaneously","(2) a user activity, (3) a code block, (4) a generative prompt step",,A,Deterministic validation fits a code block; free-text summarization fits a generative prompt step; a required human sign-off fits a user activity — collapsing all three into one generative prompt (option C) or reversing the deterministic/generative assignments (option B) both misapply the elements.
22,3,Workflow and Orchestration Design,MC,"Which of the following is NOT part of the documented, correct sequence for bringing an MCP tool into production use in watsonx Orchestrate, even though it resembles a real step from a DIFFERENT part of the process?",Register the tool with the MCP server,Validate the tool's schema/behavior using MCP Inspector,Import the tool into watsonx Orchestrate via the ADK,Manually re-type the tool's entire source code into a code block before it can be attached to any agent,,D,"The correct sequence is register with the MCP server → validate with MCP Inspector → import via ADK → configure the consuming agent. Manually re-typing the tool's source code into a code block is not part of this process; MCP tools are consumed via the protocol, not reimplemented as code blocks."
23,3,Workflow and Orchestration Design,MC,"A developer registers a local MCP server with `orchestrate toolkits add --kind mcp --command ""npx -y <package>"" --tools ""*"" --app-id <connection>`. A colleague then registers a REMOTE MCP server and, expecting symmetry, looks for a `--command` flag pointing at a local process. Why won't they find one for the remote case?","Remote MCP server registration instead uses parameters describing how to reach the server over the network (e.g., its URL/endpoint), since there is no local process to launch — the `--command` pattern is specific to local servers","Remote and local registration are actually identical, and the colleague simply mistyped the command","Remote MCP servers cannot be registered via the ADK CLI under any circumstances, so no such flag will ever exist","The `--command` flag is required for both, but only becomes visible after the --with-langflow flag is enabled",,A,"Local MCP servers are launched via a local process command; remote MCP servers are reached over the network and are registered with parameters describing how to reach them (URL/endpoint), not a local `--command` launch pattern."
24,3,Workflow and Orchestration Design,MC,"A finance workflow needs a credit-check capability that must be auditable and reusable by non-WXO agents in a different framework. A developer instead builds it as a Langflow-based tool, reasoning 'Langflow is visual, so it's inherently more auditable.' What is the flaw in this reasoning?",There is no flaw; Langflow tools are always the most auditable and most cross-framework-reusable option by definition,"Auditability is not inherently a property of being visual versus code-based; MCP tools are specifically positioned for structured, auditable, framework-agnostic data exchange reusable outside WXO, which is the actual requirement here, whereas a Langflow tool is a WXO-integrated flow rather than a protocol-level, cross-framework interface","Langflow tools cannot be audited under any circumstances, making this workflow non-compliant regardless of tool choice","Credit-check logic can only be implemented as a Knowledge Base document, making both Langflow and MCP irrelevant",,B,"Visual composition (Langflow) does not by itself confer cross-framework auditability; MCP tools are the documented fit for structured, auditable, framework-agnostic reuse — the actual stated requirement — making the Langflow choice a mismatch for this specific need."
25,3,Workflow and Orchestration Design,MR,"A workflow architect must decide, for each of five sub-tasks, whether it fits a code block or a generative prompt step. Select ALL sub-tasks below that are better suited to a CODE BLOCK rather than a generative prompt step.",Validating that a submitted numeric amount is within an allowed threshold,Calculating a weighted average from several structured input fields,Summarizing an open-ended customer complaint into three bullet points,Reformatting a date string from one fixed format to another fixed format,,"A,B,D","Deterministic validation, calculation, and fixed-format transformation fit code blocks. Summarizing open-ended free text is a language-centric task better suited to a generative prompt step, not a code block."
26,3,Workflow and Orchestration Design,MC,"Which statement about pre-built domain agents in the Agent Catalog is FALSE, while the other three are accurate?","They ship with tuned connectors, prompts, and behaviors scoped to a specific business domain","They can be cloned, have their instructions/guidelines adjusted, and have tools added or removed before deployment","They require configuring a secure connection to reach your tenant's instance of the target enterprise system, just like a custom tool","Once deployed from the Catalog, they can never be re-tested or modified again under any circumstances",,D,"Pre-built domain agents can be cloned, adjusted, re-tested, and re-deployed like any other agent asset — there is no documented restriction preventing further modification or testing after initial deployment, contradicting option D."
27,3,Workflow and Orchestration Design,MC,"A team registers a remote MCP server whose typical response time under normal load is 45 seconds due to a slow downstream dependency. What is the most likely outcome during ADK schema validation, and why would 'it will succeed because MCP Inspector has no time limits' be an incorrect assumption to rely on?",The import is likely to fail validation because remote MCP tool imports via the ADK are subject to a 30-second response window; relying on MCP Inspector's own behavior to reason about the ADK's separate import validation window conflates two different steps of the process,"The import will always succeed regardless of response time, since no such constraint exists for remote servers","The import will succeed because the 30-second window applies only to local MCP servers, not remote ones","The import will fail, but only because the --with-langflow flag was not supplied",,A,"A 45-second response time exceeds the documented 30-second window applied during ADK schema validation for remote MCP imports; that constraint is a property of the ADK import step, distinct from whatever timeout behavior MCP Inspector itself may or may not have."
28,3,Workflow and Orchestration Design,MC,Which of the following four claims about ContextForge MCP Gateway is FALSE?,"It can expose a 'virtual server' combining tools from multiple MCP servers as a curated, secured subset","It supports multiple authentication types when registering MCP servers, including OAuth",Choosing it over direct per-agent MCP server registration centralizes governance over which tools are discoverable and callable,"It is required before any MCP tool can be imported into watsonx Orchestrate via the ADK, with no direct-import path ever possible",,D,"ContextForge centralizes governance and is a valuable option, but tools can be registered with an MCP server and imported via ADK without it being a strict, universal prerequisite for every import — framing it as the only possible path is the false claim."
29,4,Agent Development,MC,"Given four sub-tasks — (1) drafting three alternative tagline options with no live data needed, (2) looking up a customer's live account balance, (3) answering from a static, board-approved policy PDF, (4) submitting a purchase order into an ERP system — which single option correctly maps ALL FOUR to their best-fit mechanism (LLM reasoning, tool, knowledge base, or tool, respectively)?","(1) LLM reasoning alone, (2) tool/connection (live lookup), (3) knowledge base retrieval, (4) tool/connection (side-effecting action) — each mapped to the mechanism matching whether it needs creative generation, live data, static grounding, or an executed action","(1) knowledge base, (2) LLM reasoning, (3) tool, (4) knowledge base — reversing which tasks need grounding versus live execution","All four should use LLM reasoning alone, since a sufficiently capable model can approximate live lookups and ERP submissions without any tool or connection","(1) tool, (2) knowledge base, (3) LLM reasoning, (4) LLM reasoning",,A,"Creative brainstorming fits LLM reasoning alone; a live account-balance lookup and an ERP purchase-order submission both need a tool/connection (the second because it is a side-effecting action); a static policy answer fits Knowledge Base retrieval. Options B, C, and D each misassign at least one task."
30,4,Agent Development,MC,"An agent's purpose statement reads: 'This agent answers HR policy questions using the internal HR Knowledge Base. It does not process payroll changes, initiate terminations, or access an employee's compensation history, and it escalates any request outside these bounds to a human HR representative.' A reviewer says this statement is 'overly restrictive and should just say what the agent does.' Why is the reviewer's critique misaligned with documented design guidance?",The reviewer is correct; purpose statements should describe only what the agent does and should never mention what it does not do,"Documented guidance holds that a purpose statement should capture both what the agent does AND, just as importantly, what it does not do — the explicit non-goals and escalation boundary in this statement are exactly what the guidance calls for, not an unnecessary restriction","Purpose statements are not part of documented agent design guidance at all, making the entire debate moot","The statement should instead list every tool by name and omit any description of scope, per documented guidance",,B,"Design guidance explicitly calls for scoping both what an agent does and does not do; the statement's non-goals and escalation boundary reflect that guidance directly, making the reviewer's 'overly restrictive' critique a misreading of the documented practice."
31,4,Agent Development,MC,"During evaluation, an agent produces the textually correct final answer in 9 of 10 test cases, but trajectory inspection shows that in several of those 'correct' cases, it called an unrelated tool before eventually arriving at the right answer through an inefficient or risky path. Which conclusion is best supported, and why is 'the agent passed, since 90% of final answers were correct' an incomplete read of the results?","Final-answer accuracy alone overstates readiness here; because evaluation also checks the reasoning trajectory (tool-call sequence), the unrelated tool calls indicate a reliability issue that a final-answer-only view would miss entirely","The agent should be considered fully production-ready, since observability — not evaluation — is responsible for catching trajectory issues, and evaluation should only ever score final answers","Trajectory data is irrelevant once the final answer is correct, so no further investigation is warranted",A 90% final-answer pass rate automatically satisfies both evaluation and observability requirements with no further review needed,,A,Evaluation checks the reasoning trajectory as well as the final answer specifically because a correct-looking final answer reached via an unreliable or unrelated tool-call path signals a real reliability problem that a final-answer-only score would hide.
32,4,Agent Development,MC,"A team scopes a new agent with 22 tools, reasoning that 'more tools means more capability, so tool-selection accuracy will simply improve as the agent becomes more powerful.' What does documented guidance say about this reasoning?",The reasoning is correct; there is no documented ceiling and tool-selection accuracy improves monotonically with more tools,"Accuracy tends to degrade past roughly a ten-tool ceiling per agent, so 22 tools is likely to hurt tool-selection accuracy rather than improve it; the recommended remedy is narrower scoping composed via collaborators, not adding even more tools",Tool count has no documented relationship to accuracy at all; only the model's size matters,"22 tools is fine as long as descriptions are omitted, since fewer words per tool compensates for the higher count",,B,"Accuracy tends to degrade past roughly ten tools per agent, contradicting the assumption that more tools always means better capability; narrow scoping via collaborators is the documented remedy, not simply adding more tools or removing descriptions."
33,4,Agent Development,MR,Which of the following should be verified as part of readiness activities BEFORE an agent moves from development into testing? Select ALL that are documented readiness checks; exclude anything that is not.,"All assets and connections are defined, with no missing credentials or unresolved tool references",Documentation and version details are complete for audit-trail purposes,The agent has already been fully evaluated against production traffic for at least 30 days,The agent's marketing slogan has been finalized and approved by the brand team,,"A,B",Readiness centers on verified assets/connections with no missing pieces and complete documentation/versioning. Thirty days of production traffic exposure (which would postdate testing entirely) and marketing-slogan approval are not documented readiness checks for the Dev-to-Test transition.
34,4,Agent Development,MC,"Comparing 'recording' and 'generating' user stories for an evaluation dataset, a QA lead proposes using ONLY generated (synthetic) stories, arguing 'synthetic cases cover more edge cases than what a handful of real users happened to do.' What consideration does this proposal risk overlooking?",Nothing; synthetic-only datasets are explicitly the documented sole recommended approach with no role for recorded transcripts,"Recorded stories capture real, observed user interaction patterns that synthetic generation may not naturally reproduce, so relying only on generated stories risks missing realistic phrasing, sequencing, or edge cases that real usage actually surfaces, even though generated stories do broaden coverage of scenarios a small sample of real users might not include","Recording and generating produce identical datasets, so the QA lead's proposal changes nothing in practice","Generated stories are not permitted to include adversarial scenarios, unlike recorded stories, making the proposal invalid for that reason alone",,B,"Recorded stories capture real usage patterns synthetic generation may not naturally reproduce, while generated stories broaden coverage of scenarios (including adversarial ones) a small real-user sample might miss — the two are complementary, and relying on only one risks a gap the other would have covered."
35,4,Agent Development,MC,"An agent's guidelines say 'always answer confidently, even if uncertain, to maintain a professional tone.' A compliance reviewer flags this as inconsistent with documented governance guidance for agent behavioral profiles. What is the specific conflict?",There is no conflict; always projecting confidence regardless of actual certainty is exactly what documented guidance recommends,"Documented guidance holds that guidelines should explicitly state how the agent should behave WHEN UNCERTAIN, alongside what it must never disclose/do and what requires human approval — instructing the agent to mask uncertainty with false confidence runs counter to treating the behavioral profile as a compliance control",The conflict is unrelated to uncertainty handling and is actually about the agent's tool count exceeding ten,"Guidelines are not permitted to mention tone at all, so any tone instruction is automatically non-compliant regardless of content",,B,Guidelines should specify how the agent handles uncertainty as part of its behavioral/compliance profile; instructing it to project false confidence rather than appropriately signal uncertainty conflicts with that guidance.
36,4,Agent Development,MC,"Which of the following four statements about connecting agents to communication channels is FALSE, while the others are accurate?","Different channels (e.g., Slack, SMS, web chat, telephony) can impose different constraints that testing and validation should confirm the agent handles correctly",Security considerations apply when connecting agents to external channels,"Testing an agent on one channel automatically guarantees identical behavior, security posture, and constraint-handling on every other channel with no further validation needed","Channel-specific data-handling/compliance requirements, such as message retention on a given platform, are a relevant design consideration",,C,"Each channel has its own constraints, so validated behavior on one channel does not automatically guarantee identical behavior, security posture, or compliance handling on a different channel — each connected channel should be tested, contradicting option C."
37,4,Agent Development,MC,"A designer breaks down a workflow and, for one particular step involving a fixed conditional branch with no external call, no tool execution, and no delegated reasoning, is deciding among 'an agent,' 'a tool,' 'a connection,' or 'a flow branch.' Which is the best fit, and why would defaulting to 'an agent' here be an example of the overuse pattern documented guidance warns against?","A flow branch is the best fit, since the step is a fixed conditional with no external call or delegated reasoning; routing it through an agent would add unnecessary LLM reasoning overhead for logic that is already fully deterministic","An agent is always the best fit for every step regardless of its nature, since agents are the most capable construct","A connection is the best fit, since any conditional logic must involve an external system by definition","A tool is the best fit, since flow branches do not exist as a distinct construct",,A,"A fixed conditional with no external call or delegated reasoning is a flow branch, not an agent — routing it through an agent would add unneeded LLM reasoning overhead for logic that requires none, exactly the overuse pattern the breakdown guidance cautions against."
38,4,Agent Development,MC,"Comparing chain-of-thought prompting, few-shot examples, and role/task framing as agentic prompting techniques, which statement correctly characterizes their documented relationship?",They are mutually exclusive; an agent's prompt design may only use exactly one of the three techniques at a time,"They are each recognized, structured prompting techniques used to guide agent reasoning, and are not documented as mutually exclusive — an agent's prompt design can reasonably combine more than one","Only chain-of-thought is a real, documented technique; few-shot examples and role/task framing are not recognized agentic prompting approaches",These techniques apply only to Knowledge Base retrieval and have no relevance to agent reasoning itself,,B,"Chain-of-thought, few-shot examples, and role/task framing are each recognized structured prompting techniques for guiding agent reasoning; nothing in the documentation restricts an agent's prompt design to using only one at a time."
39,4,Agent Development,MC,Which of the following four statements about the ADK Evaluation Framework's basic workflow is FALSE?,It begins by defining 'stories' describing desired outcomes,"It generates synthetic test cases, including expected tool-call trajectories, from those stories","It runs the evaluation and allows inspection of results, including trajectory comparisons, not just final-answer comparisons","It requires deploying the agent to Prod first, since evaluation can only run against live production traffic and never against pre-release test cases",,D,"The Evaluation Framework is a pre-release, build-time process (stories → generated test cases with expected trajectories → run evaluation → inspect results); it does not require Prod deployment or live production traffic to operate, contradicting option D."
